#Time,X,Y,Z,CONF
000169.410,0.65,0.76,-0.11,62
000169.510,0.63,0.77,-0.03,85
000169.610,0.63,0.76,-0.07,90
000169.710,0.64,0.74,-0.11,88
000169.810,0.64,0.74,-0.14,87
000169.910,0.63,0.75,-0.04,80
000170.010,0.63,0.74,-0.09,86
000170.110,0.64,0.76,-0.02,90
000170.210,0.63,0.79,0.09,58
000170.310,0.62,0.78,0.13,85
000170.410,0.60,0.80,0.19,62
000170.510,0.61,0.79,0.21,84
000170.610,0.60,0.81,0.26,58
000170.720,0.60,0.81,0.30,60
000170.820,0.60,0.80,0.26,93
000170.920,0.60,0.80,0.21,93
000171.020,0.56,0.83,0.25,60
000171.120,0.57,0.81,0.13,85
000171.220,0.58,0.81,0.15,85
000171.320,0.56,0.82,0.19,69
000171.420,0.57,0.81,0.20,84
000171.520,0.57,0.81,0.22,79
000171.620,0.59,0.80,0.11,86
000171.720,0.61,0.79,0.11,95
000171.820,0.61,0.79,0.15,83
000171.920,0.62,0.78,0.20,72
000172.020,0.61,0.77,0.13,95
000172.120,0.62,0.76,0.06,95
000172.220,0.62,0.77,0.10,87
000172.320,0.61,0.78,0.12,87
000172.420,0.61,0.77,0.17,78
000172.520,0.62,0.77,0.18,86
000172.620,0.63,0.76,0.07,83
000172.720,0.63,0.77,0.12,81
000172.820,0.64,0.77,0.16,80
000172.920,0.63,0.77,0.16,91
000173.020,0.62,0.77,0.16,90
000173.120,0.63,0.76,0.07,89
000173.220,0.65,0.75,0.01,91
000173.320,0.65,0.77,0.07,82
000173.420,0.65,0.77,0.11,86
000173.520,0.64,0.77,0.11,94
000173.620,0.65,0.76,0.03,88
000173.720,0.65,0.76,-0.03,90
000173.820,0.63,0.78,0.08,63
000173.920,0.64,0.76,0.00,88
000174.020,0.64,0.76,0.00,97
000174.120,0.65,0.75,-0.06,84
000174.220,0.63,0.76,0.02,79
000174.320,0.61,0.80,0.12,55
000174.420,0.63,0.80,-0.01,63
000174.520,0.61,0.81,0.09,62
000174.620,0.62,0.80,0.11,92
000174.720,0.61,0.80,0.13,85
000174.820,0.61,0.79,0.17,81
000174.920,0.64,0.76,0.04,75
000175.020,0.64,0.76,0.09,88
000175.120,0.64,0.77,0.14,78
000175.220,0.60,0.80,0.19,60
000175.320,0.58,0.83,0.24,58
000175.420,0.58,0.83,0.29,61
000175.520,0.59,0.81,0.15,85
000175.620,0.60,0.81,0.22,60
000175.720,0.60,0.81,0.22,85
000175.820,0.60,0.81,0.19,92
000175.930,0.61,0.79,0.08,83
000176.030,0.61,0.79,0.09,92
000176.130,0.60,0.80,0.09,88
000176.230,0.60,0.80,0.14,80
000176.330,0.59,0.80,0.14,89
000176.430,0.59,0.78,0.17,82
000176.530,0.57,0.81,0.23,56
000176.630,0.59,0.78,0.11,85
000176.730,0.61,0.77,0.04,92
000176.830,0.62,0.77,0.09,85
000176.930,0.63,0.75,0.01,87
000177.030,0.65,0.76,0.06,86
000177.130,0.62,0.78,0.14,62
000177.230,0.61,0.79,0.22,59
000177.330,0.63,0.78,0.10,87
000177.430,0.63,0.78,0.13,87
000177.530,0.62,0.77,0.16,83
000177.630,0.61,0.79,0.23,60
000177.730,0.61,0.79,0.24,82
000177.830,0.61,0.79,0.24,81
000177.930,0.61,0.79,0.28,65
000178.030,0.62,0.78,0.16,87
000178.130,0.60,0.81,0.22,56
000178.230,0.61,0.79,0.11,86
000178.330,0.61,0.78,0.05,94
000178.430,0.60,0.80,0.14,60
000178.530,0.61,0.77,0.06,92
000178.630,0.61,0.78,0.12,78
000178.730,0.59,0.80,0.18,63
000178.830,0.58,0.79,0.24,65
000178.930,0.59,0.79,0.22,90
000179.030,0.61,0.78,0.12,90
000179.130,0.62,0.77,0.04,89
000179.230,0.63,0.77,0.09,84
000179.330,0.62,0.78,0.16,69
000179.430,0.65,0.76,0.08,93
000179.530,0.63,0.77,0.12,82
000179.630,0.61,0.80,0.18,60
000179.730,0.58,0.82,0.23,61
000179.830,0.60,0.79,0.15,95
000179.930,0.63,0.75,0.01,68
000180.030,0.65,0.74,-0.09,67
000180.130,0.64,0.77,0.03,62
000180.230,0.63,0.78,0.02,94
000180.330,0.63,0.79,0.04,94
000180.430,0.61,0.79,0.08,85
000180.530,0.62,0.78,0.09,96
000180.630,0.63,0.77,0.02,93
000180.730,0.63,0.77,0.03,96
000180.840,0.63,0.76,0.09,83
000180.940,0.63,0.76,0.14,79
000181.040,0.62,0.78,0.14,89
000181.140,0.64,0.76,0.04,82
000181.240,0.63,0.77,0.07,89
000181.340,0.62,0.76,-0.01,87
000181.440,0.61,0.78,0.10,58
000181.540,0.60,0.80,0.18,58
000181.640,0.59,0.80,0.20,80
000181.740,0.59,0.80,0.17,91
000181.840,0.60,0.81,0.24,60
000181.940,0.59,0.81,0.25,78
000182.040,0.61,0.79,0.15,92
000182.140,0.63,0.76,0.01,66
000182.240,0.63,0.76,0.06,87
000182.340,0.59,0.81,0.13,57
000182.440,0.60,0.80,0.06,91
000182.540,0.63,0.78,0.11,82
000182.640,0.62,0.78,0.15,82
000182.740,0.60,0.80,0.22,58
000182.840,0.60,0.81,0.27,59
000182.940,0.58,0.83,0.30,59
000183.040,0.59,0.83,0.29,81
000183.140,0.56,0.86,0.30,59
000183.240,0.57,0.85,0.29,82
000183.340,0.59,0.82,0.15,82
000183.440,0.61,0.81,0.17,84
000183.540,0.61,0.80,0.22,72
000183.640,0.62,0.80,0.23,82
000183.740,0.62,0.80,0.19,95
000183.840,0.61,0.80,0.17,92
000183.940,0.60,0.81,0.20,78
000184.040,0.61,0.79,0.21,83
000184.140,0.61,0.79,0.20,91
000184.240,0.61,0.79,0.19,92
000184.340,0.62,0.77,0.08,86
000184.440,0.63,0.77,0.04,96
000184.540,0.62,0.79,0.13,62
000184.640,0.62,0.78,0.04,86
000184.740,0.62,0.79,0.09,82
000184.840,0.62,0.78,0.12,89
