#Time,X,Y,Z,CONF
000088.850,0.65,0.76,-0.10,63
000088.950,0.62,0.79,0.02,62
000089.050,0.59,0.81,0.12,55
000089.150,0.57,0.83,0.19,56
000089.250,0.59,0.81,0.08,84
000089.350,0.58,0.82,0.10,86
000089.450,0.59,0.83,0.11,86
000089.550,0.62,0.80,0.04,91
000089.650,0.61,0.81,0.07,85
000089.750,0.58,0.83,0.16,55
000089.850,0.58,0.83,0.16,87
000089.950,0.59,0.82,0.17,89
000090.050,0.61,0.81,0.09,94
000090.150,0.59,0.83,0.18,54
000090.250,0.58,0.83,0.24,60
000090.350,0.60,0.80,0.11,81
000090.450,0.60,0.81,0.18,62
000090.550,0.62,0.79,0.07,82
000090.650,0.62,0.79,0.11,84
000090.750,0.63,0.80,0.14,84
000090.850,0.62,0.79,0.05,86
000090.950,0.60,0.82,0.14,56
000091.050,0.60,0.81,0.19,75
000091.150,0.61,0.80,0.09,89
000091.250,0.63,0.79,0.01,89
000091.350,0.59,0.82,0.12,51
000091.450,0.59,0.83,0.10,91
000091.550,0.61,0.80,0.01,83
000091.650,0.59,0.82,0.06,78
000091.750,0.59,0.82,0.10,82
000091.850,0.58,0.84,0.12,83
000091.950,0.58,0.83,0.19,62
000092.050,0.57,0.86,0.25,54
000092.150,0.58,0.84,0.24,87
000092.250,0.58,0.83,0.24,80
000092.350,0.58,0.81,0.23,88
000092.450,0.59,0.82,0.28,60
000092.550,0.59,0.81,0.25,91
000092.650,0.60,0.82,0.29,61
000092.750,0.59,0.81,0.33,62
000092.850,0.58,0.82,0.33,64
000092.950,0.57,0.82,0.36,60
000093.050,0.58,0.80,0.33,86
000093.150,0.60,0.79,0.18,83
000093.250,0.62,0.79,0.22,75
000093.360,0.60,0.81,0.26,61
000093.460,0.59,0.82,0.30,60
000093.560,0.62,0.78,0.13,69
000093.660,0.60,0.81,0.20,56
000093.760,0.60,0.81,0.19,90
000093.860,0.58,0.83,0.24,56
000093.960,0.56,0.85,0.27,60
000094.060,0.57,0.84,0.29,69
000094.160,0.57,0.84,0.33,59
000094.260,0.58,0.83,0.31,80
000094.360,0.57,0.85,0.34,54
000094.460,0.57,0.85,0.36,61
000094.560,0.59,0.82,0.20,81
000094.660,0.58,0.84,0.25,53
000094.760,0.60,0.82,0.08,62
000094.860,0.59,0.83,0.14,69
000094.960,0.60,0.82,0.02,73
000095.060,0.59,0.83,0.13,57
000095.160,0.56,0.85,0.19,59
000095.260,0.56,0.84,0.14,93
000095.360,0.58,0.82,0.07,93
000095.460,0.55,0.84,0.16,54
000095.560,0.58,0.82,0.08,94
000095.660,0.61,0.80,-0.00,84
000095.760,0.60,0.82,0.09,62
000095.860,0.58,0.83,0.17,62
000095.960,0.58,0.82,0.18,85
000096.060,0.61,0.79,0.07,86
000096.160,0.59,0.81,0.15,58
000096.260,0.61,0.80,0.18,86
