#Time,X,Y,Z,CONF
000037.350,0.60,0.79,0.26,81
000037.450,0.62,0.78,0.28,77
000037.550,0.62,0.78,0.29,74
000037.650,0.63,0.77,0.14,78
000037.750,0.63,0.77,0.08,96
000037.850,0.63,0.77,-0.00,85
000037.950,0.63,0.76,0.04,93
000038.050,0.63,0.77,-0.04,80
000038.150,0.58,0.81,0.07,47
000038.250,0.57,0.81,0.16,61
000038.350,0.59,0.80,0.20,77
000038.450,0.58,0.79,0.23,73
000038.550,0.59,0.78,0.11,85
000038.650,0.61,0.76,0.04,91
000038.750,0.60,0.78,0.11,69
000038.850,0.59,0.79,0.19,62
000038.950,0.59,0.78,0.23,72
000039.050,0.61,0.78,0.11,86
000039.150,0.62,0.78,0.02,81
000039.250,0.62,0.78,0.01,96
000039.350,0.62,0.77,0.06,87
000039.450,0.63,0.78,0.13,76
000039.550,0.61,0.79,0.12,87
000039.650,0.60,0.79,0.20,62
000039.750,0.60,0.79,0.21,84
000039.850,0.58,0.83,0.26,52
000039.950,0.59,0.82,0.14,84
000040.050,0.60,0.81,0.18,80
000040.150,0.61,0.80,0.18,88
000040.250,0.61,0.79,0.18,92
000040.350,0.60,0.80,0.21,75
000040.450,0.60,0.81,0.25,66
000040.550,0.61,0.80,0.23,89
000040.660,0.63,0.78,0.12,87
000040.760,0.62,0.79,0.17,73
000040.860,0.64,0.77,0.19,87
000040.960,0.62,0.79,0.22,70
000041.060,0.59,0.82,0.26,58
000041.160,0.61,0.82,0.12,80
000041.260,0.63,0.80,0.18,71
000041.360,0.62,0.79,0.22,77
000041.460,0.61,0.79,0.25,73
000041.560,0.60,0.82,0.29,55
000041.660,0.60,0.81,0.31,69
000041.760,0.58,0.83,0.33,59
000041.860,0.57,0.84,0.35,56
000041.960,0.59,0.82,0.35,74
000042.060,0.61,0.80,0.34,81
000042.160,0.62,0.79,0.18,81
000042.260,0.61,0.80,0.24,59
000042.360,0.62,0.78,0.12,86
000042.460,0.61,0.80,0.17,72
000042.560,0.59,0.81,0.20,72
000042.660,0.60,0.81,0.22,80
000042.760,0.61,0.80,0.07,71
000042.860,0.62,0.79,0.12,83
000042.960,0.62,0.78,0.17,77
000043.060,0.64,0.76,0.07,85
000043.160,0.62,0.77,0.16,60
000043.260,0.63,0.78,0.06,85
000043.360,0.59,0.80,0.11,72
000043.460,0.60,0.79,0.15,82
000043.560,0.62,0.77,0.04,83
000043.660,0.62,0.77,0.01,97
000043.760,0.64,0.76,0.08,82
000043.860,0.64,0.76,0.00,86
000043.960,0.62,0.78,0.05,84
000044.060,0.63,0.76,-0.01,92
000044.160,0.64,0.76,-0.04,92
000044.260,0.64,0.76,0.04,79
000044.360,0.65,0.75,-0.03,86
000044.460,0.67,0.75,-0.09,84
000044.560,0.65,0.77,-0.09,89
000044.660,0.63,0.78,-0.02,89
000044.760,0.64,0.78,0.01,94
000044.860,0.61,0.81,0.09,70
000044.960,0.62,0.79,0.07,98
000045.060,0.63,0.77,0.02,94
000045.160,0.62,0.78,0.07,85
000045.260,0.63,0.79,0.12,82
000045.360,0.63,0.78,0.02,84
000045.460,0.64,0.77,-0.06,81
000045.560,0.62,0.79,0.02,78
000045.660,0.63,0.77,-0.05,83
000045.770,0.62,0.77,0.02,85
000045.870,0.63,0.77,-0.06,78
000045.970,0.64,0.75,-0.11,84
000046.070,0.64,0.75,-0.01,81
000046.170,0.62,0.77,0.10,58
000046.270,0.60,0.79,0.12,83
000046.370,0.60,0.80,0.18,68
000046.470,0.60,0.81,0.18,86
000046.570,0.60,0.80,0.18,90
000046.670,0.61,0.78,0.09,92
000046.770,0.62,0.77,0.02,88
000046.870,0.62,0.78,0.10,72
000046.970,0.61,0.80,0.10,89
000047.070,0.61,0.79,0.14,80
000047.170,0.61,0.79,0.15,90
000047.270,0.61,0.79,0.05,83
000047.370,0.62,0.78,0.09,86
000047.470,0.63,0.78,0.01,85
000047.570,0.63,0.77,-0.04,90
000047.670,0.64,0.76,-0.09,86
000047.770,0.61,0.79,0.04,57
000047.870,0.61,0.80,0.11,74
000047.970,0.62,0.79,0.16,78
000048.070,0.61,0.77,0.09,95
000048.170,0.61,0.76,0.02,91
000048.270,0.63,0.75,-0.05,83
000048.370,0.64,0.74,-0.09,88
000048.470,0.64,0.74,-0.03,91
000048.570,0.61,0.77,0.07,62
000048.670,0.62,0.76,0.01,92
000048.770,0.63,0.76,0.08,82
000048.870,0.61,0.77,0.11,84
000048.970,0.61,0.77,0.14,86
000049.070,0.61,0.77,0.05,85
