#Time,X,Y,Z,CONF
000074.580,0.62,0.82,-0.26,55
000074.680,0.65,0.78,-0.29,72
000074.780,0.61,0.81,-0.13,58
000074.880,0.62,0.79,-0.16,83
000074.980,0.63,0.78,-0.20,78
000075.080,0.63,0.77,-0.22,84
000075.180,0.62,0.77,-0.09,78
000075.280,0.64,0.76,-0.17,65
000075.380,0.65,0.75,-0.24,64
000075.480,0.67,0.75,-0.21,94
000075.580,0.63,0.80,-0.26,51
000075.680,0.63,0.79,-0.26,84
000075.780,0.60,0.82,-0.10,62
000075.880,0.59,0.84,-0.04,85
000075.980,0.56,0.85,0.06,59
000076.080,0.59,0.83,-0.06,64
000076.180,0.57,0.85,0.05,56
000076.280,0.59,0.83,0.01,94
000076.380,0.56,0.86,0.09,54
000076.490,0.53,0.86,0.17,58
000076.590,0.53,0.87,0.23,57
000076.690,0.52,0.88,0.26,56
000076.790,0.51,0.89,0.29,57
000076.890,0.50,0.89,0.32,56
000076.990,0.54,0.85,0.20,93
000077.090,0.58,0.81,0.09,88
000077.190,0.61,0.78,0.01,89
000077.290,0.63,0.76,-0.08,70
000077.390,0.60,0.79,0.04,56
000077.490,0.63,0.79,-0.07,65
000077.590,0.60,0.82,0.04,58
000077.690,0.61,0.80,-0.04,82
000077.790,0.59,0.84,0.06,60
000077.890,0.61,0.81,-0.01,89
000077.990,0.64,0.78,-0.11,64
000078.090,0.60,0.82,0.01,55
000078.190,0.58,0.84,0.04,83
000078.290,0.56,0.85,0.13,56
000078.390,0.55,0.87,0.18,61
000078.490,0.54,0.88,0.17,81
000078.590,0.57,0.84,0.06,82
000078.690,0.60,0.82,-0.06,63
000078.790,0.56,0.85,0.04,53
000078.890,0.59,0.82,-0.03,87
000078.990,0.55,0.84,0.09,49
000079.090,0.53,0.87,0.17,52
000079.190,0.52,0.87,0.22,57
000079.290,0.57,0.83,0.11,88
000079.390,0.56,0.84,0.12,83
000079.490,0.54,0.86,0.18,60
000079.590,0.58,0.82,0.07,84
000079.690,0.61,0.80,-0.02,81
000079.790,0.58,0.83,0.08,60
000079.890,0.56,0.86,0.15,54
000079.990,0.55,0.87,0.22,55
000080.090,0.54,0.89,0.27,51
000080.190,0.55,0.86,0.23,91
000080.290,0.57,0.82,0.07,63
000080.390,0.61,0.79,-0.06,62
000080.490,0.58,0.82,0.06,55
000080.590,0.61,0.79,0.01,94
000080.690,0.60,0.81,0.11,61
000080.790,0.62,0.78,0.00,78
000080.890,0.58,0.81,0.09,60
000080.990,0.56,0.84,0.16,58
000081.090,0.54,0.85,0.22,57
000081.200,0.54,0.87,0.25,61
000081.300,0.54,0.87,0.27,66
000081.400,0.53,0.88,0.31,55
000081.500,0.58,0.84,0.12,63
000081.600,0.56,0.86,0.18,61
000081.700,0.55,0.86,0.24,56
000081.800,0.53,0.88,0.28,50
000081.900,0.56,0.84,0.10,63
000082.000,0.56,0.85,0.18,57
000082.100,0.58,0.82,0.05,74
000082.200,0.57,0.84,0.10,74
000082.300,0.60,0.81,0.02,87
000082.400,0.58,0.83,0.10,62
000082.500,0.61,0.80,-0.02,67
000082.600,0.63,0.77,-0.07,88
000082.700,0.60,0.80,0.05,57
000082.800,0.57,0.83,0.13,55
000082.900,0.56,0.86,0.20,55
000083.000,0.58,0.83,0.07,78
000083.100,0.60,0.79,0.01,92
000083.200,0.57,0.82,0.11,52
000083.300,0.56,0.85,0.18,55
000083.400,0.59,0.82,0.06,79
000083.500,0.57,0.83,0.14,58
000083.600,0.61,0.81,0.05,87
000083.700,0.63,0.79,0.02,97
000083.800,0.64,0.77,-0.05,86
000083.900,0.65,0.76,-0.09,88
000084.000,0.61,0.79,0.04,55
000084.100,0.63,0.77,-0.04,83
000084.200,0.65,0.76,-0.07,93
000084.300,0.65,0.75,-0.13,79
000084.400,0.67,0.74,-0.12,96
000084.500,0.63,0.80,-0.18,53
000084.600,0.64,0.79,-0.18,91
000084.700,0.62,0.83,-0.04,60
000084.800,0.58,0.85,0.05,60
000084.900,0.55,0.87,0.14,53
000085.000,0.54,0.87,0.21,52
000085.100,0.59,0.83,0.06,68
000085.200,0.57,0.85,0.15,54
000085.300,0.59,0.83,0.05,83
000085.400,0.61,0.87,0.03,87
000085.500,0.59,0.87,0.13,59
000085.600,0.57,0.89,0.18,58
000085.700,0.59,0.86,0.07,85
000085.800,0.55,0.87,0.15,55
000085.900,0.60,0.82,0.01,67
000086.000,0.64,0.79,-0.09,65
000086.100,0.60,0.83,0.03,55
000086.210,0.58,0.85,0.12,55
000086.310,0.56,0.86,0.20,54
000086.410,0.59,0.84,0.04,62
000086.510,0.55,0.86,0.12,56
000086.610,0.54,0.88,0.18,60
000086.710,0.59,0.85,0.09,89
000086.810,0.56,0.86,0.16,57
000086.910,0.60,0.82,0.10,97
000087.010,0.62,0.79,0.04,95
000087.110,0.63,0.77,-0.03,88
000087.210,0.59,0.81,0.08,51
000087.310,0.62,0.79,-0.04,63
000087.410,0.64,0.77,-0.10,84
000087.510,0.64,0.76,-0.13,89
000087.610,0.64,0.77,-0.17,80
000087.710,0.66,0.76,-0.19,85
000087.810,0.62,0.80,-0.04,57
000087.910,0.65,0.78,-0.14,65
000088.010,0.61,0.81,-0.01,58
000088.110,0.58,0.84,0.09,54
000088.210,0.61,0.79,-0.04,65
000088.310,0.60,0.82,0.08,54
000088.410,0.58,0.85,0.15,59
000088.510,0.55,0.87,0.21,51
000088.610,0.57,0.84,0.07,72
000088.710,0.55,0.87,0.15,49
000088.810,0.53,0.87,0.22,56
000088.910,0.57,0.84,0.05,62
000089.010,0.61,0.82,-0.05,71
000089.110,0.63,0.79,-0.04,99
000089.210,0.61,0.81,0.07,60
000089.310,0.62,0.80,-0.00,88
000089.410,0.62,0.79,-0.06,85
000089.510,0.63,0.78,-0.04,98
000089.610,0.59,0.82,0.04,61
000089.710,0.61,0.79,-0.03,84
000089.810,0.63,0.78,-0.13,65
000089.910,0.61,0.80,0.01,56
000090.010,0.62,0.79,-0.05,88
000090.110,0.63,0.78,-0.10,84
000090.210,0.64,0.77,-0.15,82
000090.310,0.60,0.81,-0.03,60
000090.410,0.57,0.85,0.07,57
000090.510,0.57,0.84,0.11,78
000090.610,0.60,0.80,0.01,83
000090.710,0.57,0.84,0.11,53
000090.810,0.61,0.81,-0.02,66
000090.910,0.61,0.80,-0.08,83
000091.010,0.64,0.78,-0.17,62
000091.110,0.60,0.82,-0.03,57
000091.220,0.60,0.84,0.07,60
000091.320,0.58,0.85,0.10,81
000091.420,0.57,0.85,0.18,59
000091.520,0.61,0.81,0.13,99
000091.620,0.64,0.78,0.05,88
000091.720,0.62,0.82,0.14,55
000091.820,0.65,0.79,-0.00,63
000091.920,0.67,0.78,-0.07,83
000092.020,0.68,0.77,0.06,63
000092.120,0.68,0.76,0.10,87
000092.220,0.64,0.80,-0.02,59
000092.320,0.63,0.82,0.08,62
000092.420,0.60,0.84,0.16,54
000092.520,0.59,0.84,0.23,59
000092.620,0.60,0.83,0.08,74
000092.720,0.59,0.83,0.10,85
000092.820,0.60,0.81,0.00,78
000092.920,0.61,0.80,-0.11,62
000093.020,0.59,0.83,0.02,57
000093.120,0.55,0.85,0.12,50
000093.220,0.58,0.82,0.02,83
000093.320,0.56,0.85,0.12,55
000093.420,0.58,0.83,0.01,78
000093.520,0.56,0.86,0.10,57
000093.620,0.53,0.88,0.18,50
000093.720,0.52,0.88,0.23,56
000093.820,0.52,0.91,0.26,58
000093.920,0.56,0.86,0.08,63
000094.020,0.58,0.83,0.01,88
000094.120,0.60,0.80,-0.07,81
000094.220,0.58,0.84,0.03,61
000094.320,0.56,0.87,0.10,61
000094.420,0.54,0.89,0.17,54
000094.520,0.54,0.89,0.23,59
000094.620,0.53,0.90,0.28,51
000094.720,0.54,0.89,0.23,87
000094.820,0.53,0.88,0.23,80
000094.920,0.56,0.86,0.10,81
000095.020,0.54,0.88,0.17,56
000095.120,0.58,0.84,0.08,90
000095.220,0.57,0.85,0.12,74
000095.320,0.55,0.86,0.11,80
000095.420,0.53,0.87,0.19,52
000095.520,0.56,0.84,0.08,86
000095.620,0.59,0.82,-0.01,80
000095.720,0.56,0.84,0.09,56
000095.820,0.56,0.84,0.10,87
000095.920,0.57,0.85,0.18,57
000096.020,0.55,0.87,0.23,57
000096.130,0.58,0.83,0.10,83
000096.230,0.61,0.81,-0.03,66
000096.330,0.59,0.85,0.06,60
000096.430,0.58,0.85,0.15,59
000096.530,0.56,0.87,0.21,55
000096.630,0.59,0.84,0.05,63
000096.730,0.55,0.87,0.13,51
000096.830,0.57,0.84,0.03,82
000096.930,0.56,0.85,0.13,56
000097.030,0.53,0.87,0.19,57
000097.130,0.58,0.82,0.03,63
000097.230,0.60,0.80,-0.06,77
000097.330,0.56,0.84,0.06,50
000097.430,0.55,0.85,0.15,55
000097.530,0.56,0.83,0.16,85
000097.630,0.56,0.84,0.17,82
000097.730,0.56,0.84,0.15,88
000097.830,0.55,0.86,0.21,58
000097.930,0.54,0.87,0.26,55
000098.030,0.57,0.84,0.12,79
000098.130,0.61,0.81,0.02,82
000098.230,0.60,0.83,0.12,58
000098.330,0.62,0.80,-0.01,67
000098.430,0.61,0.81,0.02,89
000098.530,0.62,0.79,-0.01,96
000098.630,0.65,0.77,-0.11,66
000098.730,0.60,0.81,0.02,50
000098.830,0.57,0.85,0.09,60
000098.930,0.60,0.82,-0.01,80
000099.030,0.61,0.80,-0.05,93
000099.130,0.59,0.83,0.07,54
000099.230,0.61,0.81,0.00,90
000099.330,0.59,0.82,0.04,86
000099.430,0.60,0.80,-0.03,85
000099.530,0.59,0.81,0.00,88
000099.630,0.62,0.78,-0.11,64
000099.730,0.59,0.82,0.02,55
000099.830,0.56,0.84,0.10,59
000099.930,0.59,0.82,0.02,89
000100.030,0.61,0.80,-0.09,63
000100.130,0.60,0.82,0.04,60
000100.230,0.62,0.79,-0.03,87
000100.330,0.64,0.77,-0.08,87
000100.430,0.63,0.79,-0.02,86
000100.530,0.63,0.78,-0.06,91
000100.630,0.60,0.80,0.06,55
000100.730,0.58,0.85,0.15,52
000100.830,0.59,0.83,0.05,85
000100.930,0.62,0.81,-0.03,81
000101.030,0.65,0.79,-0.13,66
000101.130,0.65,0.78,-0.11,98
000101.240,0.62,0.81,0.03,56
000101.340,0.59,0.84,0.10,61
000101.440,0.55,0.86,0.18,51
000101.540,0.53,0.88,0.21,60
000101.640,0.51,0.89,0.23,62
000101.740,0.57,0.85,0.07,61
000101.840,0.56,0.86,0.15,59
000101.940,0.60,0.82,0.01,66
000102.040,0.61,0.81,-0.05,87
000102.140,0.63,0.80,-0.14,64
000102.240,0.63,0.79,-0.15,90
000102.340,0.61,0.82,-0.01,55
000102.440,0.58,0.86,0.08,53
000102.540,0.60,0.83,0.01,89
000102.640,0.62,0.80,-0.05,86
000102.740,0.64,0.78,-0.15,63
000102.840,0.61,0.82,-0.05,73
000102.940,0.59,0.82,-0.02,88
000103.040,0.62,0.78,-0.12,68
000103.140,0.63,0.77,-0.16,81
000103.240,0.65,0.76,-0.23,63
000103.340,0.60,0.80,-0.07,52
000103.440,0.62,0.79,-0.10,91
000103.540,0.58,0.83,0.00,61
000103.640,0.62,0.80,-0.03,95
000103.740,0.60,0.81,0.08,57
000103.840,0.57,0.84,0.16,52
000103.940,0.60,0.82,0.05,80
000104.040,0.57,0.84,0.15,52
000104.140,0.60,0.82,0.04,81
000104.240,0.58,0.85,0.11,60
000104.340,0.57,0.86,0.19,55
000104.440,0.54,0.87,0.24,57
000104.540,0.55,0.88,0.28,58
000104.640,0.54,0.90,0.29,60
000104.740,0.54,0.88,0.32,60
000104.840,0.57,0.84,0.18,87
000104.940,0.54,0.87,0.23,53
000105.040,0.53,0.86,0.21,82
000105.140,0.57,0.83,0.05,64
000105.240,0.61,0.79,-0.06,68
000105.340,0.63,0.77,-0.12,81
000105.440,0.64,0.76,-0.20,63
000105.540,0.66,0.74,-0.18,96
000105.640,0.62,0.79,-0.03,55
000105.740,0.59,0.82,0.07,55
000105.840,0.57,0.85,0.14,61
000105.940,0.54,0.86,0.21,51
000106.040,0.52,0.88,0.26,52
000106.140,0.52,0.88,0.29,59
000106.240,0.51,0.90,0.30,59
000106.350,0.56,0.85,0.12,63
000106.450,0.58,0.82,0.06,96
000106.550,0.56,0.85,0.12,61
000106.650,0.55,0.87,0.19,55
000106.750,0.58,0.83,0.08,84
000106.850,0.61,0.79,0.02,93
000106.950,0.59,0.84,0.09,60
000107.050,0.61,0.81,0.02,90
000107.150,0.57,0.83,0.10,59
000107.250,0.59,0.81,0.02,88
000107.350,0.57,0.83,0.12,56
000107.450,0.59,0.81,0.01,78
000107.550,0.61,0.79,-0.07,79
000107.650,0.65,0.76,-0.14,71
000107.750,0.61,0.81,-0.03,59
000107.850,0.58,0.83,0.08,58
000107.950,0.55,0.86,0.15,56
000108.050,0.58,0.83,0.07,93
000108.150,0.56,0.85,0.16,52
000108.250,0.57,0.85,0.22,61
000108.350,0.56,0.87,0.26,58
000108.450,0.56,0.87,0.24,82
000108.550,0.56,0.86,0.23,83
000108.650,0.59,0.84,0.07,63
000108.750,0.56,0.86,0.13,60
000108.850,0.53,0.88,0.20,50
000108.950,0.58,0.83,0.12,94
000109.050,0.60,0.81,0.03,87
000109.150,0.60,0.81,-0.05,78
000109.250,0.56,0.84,0.06,52
