#Time,X,Y,Z,CONF
000288.120,0.58,0.82,0.11,88
000288.220,0.61,0.80,-0.02,66
000288.320,0.59,0.82,0.09,54
000288.420,0.62,0.80,-0.04,66
000288.520,0.63,0.79,-0.14,61
000288.620,0.59,0.83,-0.02,58
000288.720,0.63,0.80,-0.12,62
000288.820,0.60,0.83,0.01,57
000288.920,0.61,0.80,-0.03,93
000289.020,0.58,0.83,0.06,62
000289.120,0.56,0.86,0.13,61
000289.220,0.58,0.83,0.07,96
000289.320,0.61,0.80,-0.04,70
000289.420,0.58,0.83,0.05,60
000289.520,0.61,0.80,-0.07,62
000289.620,0.64,0.78,-0.16,64
000289.720,0.64,0.76,-0.19,84
000289.820,0.65,0.75,-0.17,96
000289.920,0.66,0.76,-0.23,64
000290.020,0.63,0.74,-0.23,85
000290.120,0.60,0.78,-0.07,56
000290.220,0.59,0.80,0.00,80
000290.320,0.59,0.82,0.09,68
000290.420,0.56,0.85,0.16,53
000290.520,0.54,0.87,0.21,57
000290.620,0.53,0.89,0.26,53
000290.720,0.56,0.86,0.12,82
000290.820,0.60,0.83,-0.02,62
000290.920,0.62,0.81,-0.03,96
000291.020,0.59,0.84,0.08,51
000291.120,0.61,0.82,-0.01,81
000291.220,0.61,0.80,-0.09,77
000291.320,0.62,0.79,-0.11,91
000291.420,0.64,0.77,-0.19,62
000291.520,0.66,0.76,-0.18,96
000291.620,0.67,0.75,-0.17,93
000291.720,0.65,0.78,-0.15,89
000291.820,0.64,0.79,-0.06,84
000291.920,0.65,0.77,-0.10,87
000292.020,0.66,0.77,-0.18,64
000292.120,0.63,0.80,-0.10,81
000292.220,0.59,0.84,0.01,54
000292.320,0.61,0.81,-0.07,80
000292.420,0.58,0.84,0.04,58
000292.520,0.61,0.82,-0.08,63
000292.620,0.63,0.80,-0.15,73
000292.720,0.59,0.83,-0.03,60
000292.820,0.55,0.86,0.07,57
000292.920,0.58,0.82,-0.01,87
000293.030,0.59,0.80,-0.08,79
000293.130,0.62,0.78,-0.11,91
000293.230,0.59,0.82,-0.00,62
000293.330,0.56,0.85,0.08,60
000293.430,0.58,0.81,0.01,89
000293.530,0.58,0.82,0.11,59
000293.630,0.62,0.79,-0.03,62
000293.730,0.64,0.76,-0.08,85
000293.830,0.64,0.76,-0.13,83
000293.930,0.64,0.76,-0.21,62
000294.030,0.65,0.75,-0.21,88
000294.130,0.60,0.80,-0.06,50
000294.230,0.62,0.78,-0.09,90
000294.330,0.63,0.77,-0.18,62
000294.430,0.64,0.77,-0.19,88
000294.530,0.66,0.76,-0.24,65
000294.630,0.68,0.74,-0.08,65
000294.730,0.64,0.78,-0.16,56
000294.830,0.65,0.76,-0.22,68
000294.930,0.61,0.81,-0.08,57
000295.030,0.60,0.83,0.03,64
000295.130,0.56,0.85,0.11,58
000295.230,0.60,0.82,-0.02,66
000295.330,0.63,0.78,-0.07,89
000295.430,0.59,0.83,0.03,60
000295.530,0.57,0.85,0.13,54
000295.630,0.60,0.82,-0.01,63
000295.730,0.57,0.85,0.08,56
000295.830,0.54,0.86,0.17,50
000295.930,0.54,0.87,0.22,62
000296.030,0.52,0.89,0.24,62
000296.130,0.56,0.86,0.12,86
000296.230,0.54,0.88,0.18,55
000296.330,0.57,0.84,0.08,86
000296.430,0.56,0.85,0.09,87
000296.530,0.54,0.86,0.16,55
000296.630,0.55,0.87,0.23,59
