#Time,X,Y,Z,CONF
000090.410,0.54,0.87,0.25,63
000090.520,0.58,0.83,0.14,91
000090.620,0.58,0.81,0.04,83
000090.720,0.56,0.84,0.11,60
000090.820,0.54,0.85,0.19,53
000090.920,0.53,0.88,0.22,60
000091.020,0.56,0.85,0.22,87
000091.120,0.60,0.81,0.07,69
000091.220,0.57,0.83,0.14,57
000091.320,0.62,0.80,0.01,66
000091.420,0.65,0.78,-0.10,63
000091.520,0.65,0.77,-0.18,64
000091.620,0.65,0.77,-0.25,63
000091.720,0.66,0.76,-0.22,95
000091.820,0.62,0.80,-0.07,57
000091.920,0.60,0.83,0.05,56
000092.020,0.57,0.87,0.13,53
000092.120,0.58,0.84,0.03,83
000092.220,0.61,0.82,-0.08,62
000092.320,0.63,0.80,-0.08,98
000092.420,0.62,0.79,-0.11,87
000092.520,0.66,0.78,-0.19,65
000092.620,0.61,0.80,-0.04,54
000092.720,0.63,0.79,-0.14,63
000092.820,0.66,0.77,-0.20,68
000092.920,0.65,0.79,-0.24,69
000093.020,0.62,0.81,-0.07,54
000093.120,0.65,0.79,-0.15,70
000093.220,0.66,0.77,-0.14,97
000093.320,0.63,0.81,-0.02,61
000093.420,0.66,0.78,-0.12,62
000093.520,0.62,0.81,0.02,53
000093.620,0.64,0.79,-0.10,62
000093.720,0.61,0.82,0.02,62
000093.820,0.58,0.84,0.10,60
000093.920,0.57,0.86,0.17,62
000094.020,0.61,0.83,0.03,67
000094.120,0.63,0.80,-0.02,93
000094.220,0.61,0.82,0.08,61
000094.320,0.61,0.81,0.00,85
000094.420,0.63,0.79,-0.06,85
000094.520,0.61,0.82,0.05,61
000094.620,0.62,0.79,-0.03,85
000094.720,0.58,0.83,0.06,59
000094.820,0.61,0.81,0.01,94
000094.920,0.62,0.78,-0.06,82
000095.020,0.60,0.82,0.04,60
000095.120,0.57,0.85,0.12,58
000095.220,0.54,0.87,0.19,53
000095.320,0.53,0.88,0.23,61
000095.420,0.54,0.88,0.27,58
000095.530,0.53,0.90,0.29,60
000095.630,0.53,0.90,0.32,60
000095.730,0.52,0.90,0.34,52
000095.830,0.55,0.85,0.20,86
000095.930,0.59,0.82,0.13,96
000096.030,0.56,0.86,0.20,50
000096.130,0.59,0.82,0.10,91
000096.230,0.59,0.83,0.18,60
000096.330,0.57,0.84,0.17,85
